Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Brenden Aaronson,Philadelphia Union,22,Midfielder,Medford,New Jersey,United States of America,20,"5' 10""",148
Brent Kallman,Minnesota United FC,14,Defender,Omaha,Nebraska,United States of America,30,"6' 2""",190
Bressan,FC Dallas,4,Defender,Caxias do Sul,,Brazil,27,"6' 0""",174
Brian Gutierrez,Chicago Fire FC,40,Midfielder,Burbank,Illinois,United States of America,17,"5' 10""",140
Brian Rodriguez,Los Angeles Football Club,17,Forward,Tranqueras,,Uruguay,20,"5' 8""",150
Brian Rowe ,Orlando City SC,23,Goalkeeper,Eugene,Oregon,United States of America,32,"6' 1""",185
Brian White,New York Red Bulls,42,Forward,Flemington,New Jersey,United States of America,24,"5' 10""",170
Brooks Lennon,Atlanta United FC,11,Defender,Paradise Valley,Arizona,United States of America,23,"5' 10""",155
Bryan Acosta,FC Dallas,8,Midfielder,La Ceiba,,Honduras,27,"5' 8""",161
Bryan Meredith,Vancouver Whitecaps FC,1,Goalkeeper,Scotch Plains,New Jersey,United States of America,31,"6' 2""",195
Bryan Reynolds,FC Dallas,14,Defender,Fort Worth,Texas,United States of America,19,"6' 3""",170
Bryce Duke,Los Angeles Football Club,19,Midfielder,Peoria,Arizona,United States of America,19,"5' 7""",145
Cade Cowell,San Jose Earthquakes,44,Forward,Ceres,California,United States of America,17,"5' 9""",154
Caden Clark,New York Red Bulls,37,Midfielder,Medina,Minnesota,United States of America,17,"5' 11""",155
Caleb Stanko,FC Cincinnati,33,Midfielder,Holly,Michigan,United States of America,27,"5' 11""",179
Callum Montgomery,FC Dallas,25,Defender,Victoria,British Columbia,Canada,23,"6' 3""",185
Cameron Duke,Sporting Kansas City,28,Midfielder,Overland Park,Kansas,United States of America,19,"5' 7""",135
Cameron Dunbar,LA Galaxy,60,Midfielder,Carson,California,United States of America,18,"5' 6""",130
Cameron Lancaster,Nashville SC,17,Forward,London,,England,28,"6' 0""",192
Carles Gil,New England Revolution,22,Midfielder,Valencia,,Spain,28,"5' 7""",145
Carlos Avilez,FC Dallas,40,Goalkeeper,Dallas,Texas,United States of America,21,"6' 1""",160
Carlos Fierro,San Jose Earthquakes,21,Midfielder,Ahome,,Mexico,26,"5' 9""",146
Carlos Harvey,LA Galaxy,67,Midfielder,Panama City,,Panama,20,"5' 10""",165
Carlos Teran,Chicago Fire FC,,Defender,Turbo,,Colombia,20,"6' 2""",187
Carlos Vela,Los Angeles Football Club,10,Forward,Cancun,,Mexico,31,"5' 10""",
Casey Walls,San Jose Earthquakes,77,Defender,Mill Valley,California,United States of America,17,"6' 2""",173
Charlie Lyon,Portland Timbers,,Goalkeeper,St. Charles,Illinois,United States of America,28,"6' 2""",215
Chase Gasper,Minnesota United FC,77,Defender,Alexandria,Virginia,United States of America,24,"6' 0""",185
Chinonso Offor,Chicago Fire FC,,Forward,Lagos,,Nigeria,20,"6' 3""",185
Chris Brady,Chicago Fire FC,34,Goalkeeper,Naperville,Illinois,United States of America,16,"6' 3""",170
Chris Cadden,Columbus Crew SC,2,Defender,Bellshill,,Scotland,24,"6' 0""",168
Chris Duvall,Portland Timbers,15,Defender,Duluth,Georgia,United States of America,29,"5' 10""",165
Chris Lema,New York Red Bulls,80,Midfielder,Ridgefield,New Jersey,United States of America,24,"5' 10""",160
Chris Mavinga,Toronto FC,23,Defender,Meaux,,France,29,"6' 1""",172
Chris Mueller,Orlando City SC,9,Midfielder,Schaumburg,Illinois,United States of America,24,"5' 9""",169
Chris Odoi-Atsem,D.C. United,3,Defender,Mitchellville,Maryland,United States of America,25,"5' 10""",150
Chris Seitz,D.C. United,1,Goalkeeper,San Luis Obispo,California,United States of America,33,"6' 3""",236
Chris Wondolowski,San Jose Earthquakes,8,Forward,Danville,California,United States of America,37,"6' 0""",165
Christian Makoun,Inter Miami CF,4,Defender/Midfielder,Valencia,,Venezuela,20,"5' 11""",154
Christian Ramirez FC,Houston Dynamo,13,Forward,Garden Grove,California,United States of America,29,"6' 2""",187
Christian Torres,Los Angeles Football Club,21,Forward,Fontana,California,United States of America,16,"5' 10""",140
Christopher Garcia,Real Salt Lake,17,Midfielder,El Paso,Texas,United States of America,17,"5' 7""",142
CJ Cochran,Nashville SC,28,Goalkeeper,Alpharetta,Georgia,United States of America,29,"6' 4""",214
Clement Bayiha,Montreal Impact,27,Midfielder/Defender,Saint-Therese,Quebec,Canada,21,"5' 8""",155
Clement Diop,Montreal Impact,31,Goalkeeper,Paris,,France,27,"6' 1""",165
Clint Irwin,Colorado Rapids,1,Goalkeeper,Charlotte,North Carolina,United States of America,31,"6' 3""",195
Cody Cropper FC,Houston Dynamo,55,Goalkeeper,Maple Grove,Minnesota,United States of America,27,"6' 4""",200
Cole Bassett,Colorado Rapids,26,Midfielder,Littleton,Colorado,United States of America,19,"5' 11""",130
Cole Turner,Philadelphia Union,13,Midfielder,Churchville,Maryland,United States of America,19,"6' 1""",175
Collen Warner,Colorado Rapids,32,Midfielder,Denver,Colorado,United States of America,32,"5' 10""",178
Collin Verfuth,New England Revolution,35,Defender,Ashburn,Virginia,United States of America,24,"6' 3""",185
Corey Baird,Real Salt Lake,10,Forward,Escondido,California,United States of America,24,"5' 10""",160
Cory Burke,Philadelphia Union,19,Forward,Kingston,,Jamaica,28,"6' 3""",180
Cristhian Paredes,Portland Timbers,22,Midfielder,Paraguari,,Paraguay,22,"6' 0""",155
Cristian Casseres Jr.,New York Red Bulls,23,Midfielder,Caracas,,Venezuela,20,"5' 9""",
Cristian Dajome,Vancouver Whitecaps FC,11,Midfielder,Bogota,,Colombia,26,"5' 8""",155
Cristian Espinoza,San Jose Earthquakes,10,Midfielder,Buenos Aires,,Argentina,25,"5' 7""",154
Cristian Gutierrez,Vancouver Whitecaps FC,3,Defender,Santiago,,Chile,23,"5' 11""",150
Cristian Pavon,LA Galaxy,10,Forward,Anisacate,,Argentina,24,"5' 7""",143
Cristian Penilla,New England Revolution,70,Forward,Esmeraldas,,Ecuador,29,"5' 9""",165
Cristian Roldan,Seattle Sounders FC,7,Midfielder,Artesia,California,United States of America,25,"5' 8""",165
Dairon Asprilla,Portland Timbers,27,Midfielder,Istmina,,Colombia,28,"5' 11""",165
Damian Rivera,New England Revolution,72,Midfielder,Cranston,Rhode Island,United States of America,17,"5' 10""",160
Damiano Pecile,Vancouver Whitecaps FC,62,Midfielder,Burnaby,British Columbia,Canada,18,"6' 0""",160
Damir Kreilach,Real Salt Lake,8,Midfielder,Vukovar,,Croatia,31,"6' 1""",174
Daniel Lovitz,Nashville SC,2,Defender,Wyndmoor,Pennsylvania,United States of America,29,"5' 10""",170
Daniel Rios,Nashville SC,14,Forward,Mexico City,,Mexico,25,"6' 1""",185
Daniel Royer,New York Red Bulls,77,Midfielder,Schladming,,Austria,30,"5' 10""",160
Daniel Salloi,Sporting Kansas City,20,Forward,Budapest,,Hungary,24,"6' 1""",150
Daniel Steres ,LA Galaxy,5,Defender,Calabasas,California,United States of America,30,"6' 0""",175
Daniel Vega,San Jose Earthquakes,17,Goalkeeper,Cutral Co,,Argentina,36,"6' 2""",200
Danilo Acosta,LA Galaxy,24,Defender,Sandy,Utah,United States of America,23,"5' 11""",170
Danny Hoesen,San Jose Earthquakes,9,Forward,Heerlen,,Netherlands,29,"6' 1""",165
Danny Leyva,Seattle Sounders FC,75,Midfielder,Las Vegas,Nevada,United States of America,17,"5' 10""",140
Danny Musovski,Los Angeles Football Club,16,Forward,Henderson,Nevada,United States of America,24,"6' 0""",160
Danny Wilson,Colorado Rapids,4,Defender,Livingston,,Scotland,28,"6' 2""",174
Dante Sealy,FC Dallas,31,Forward,Frisco,Texas,United States of America,17,"5' 10""",135
Dario Zuparic,Portland Timbers,13,Defender,Zupanja,,Croatia,28,"6' 1""",185
Darlington Nagbe,Columbus Crew SC,6,Midfielder,Lakewood,Ohio,United States of America,30,"5' 9""",165
Darwin Ceren FC,Houston Dynamo,24,Midfielder,Quezaltepeque,,El Salvador,30,"5' 10""",165
Darwin Quintero FC,Houston Dynamo,23,Forward,Tumaco,,Colombia,33,"5' 5""",142
Daryl Dike,Orlando City SC,18,Forward,Edmond,Oklahoma,United States of America,20,"6' 2""",220
Dave Romney,Nashville SC,4,Defender,Irvine,California,United States of America,27,"6' 2""",190
David Accam,Nashville SC,11,Forward,Accra,,Ghana,30,"5' 9""",154
David Bingham,LA Galaxy,1,Goalkeeper,Pleasanton,California,United States of America,31,"6' 2""",189
David Jensen,New York Red Bulls,1,Goalkeeper,Hillerød,,Denmark,28,"6' 5""",205
David Loera,Orlando City SC,30,Midfielder,Orlando,Florida,United States of America,22,"5' 5""",143
David Milinkovic,Vancouver Whitecaps FC,7,Midfielder,Antibes,,France,26,"5' 10""",175
David Norman Jr.,Inter Miami CF,15,Midfielder,Coquitlam,British Columbia,Canada,22,"6' 2""",180
David Ochoa,Real Salt Lake,1,Goalkeeper,Oxnard,California,United States of America,19,"6' 2""",175
Dax McCarty,Nashville SC,6,Midfielder,Winter Park,Florida,United States of America,33,"5' 9""",150
Dayne St. Clair,Minnesota United FC,97,Goalkeeper,Pickering,Ontario,Canada,23,"6' 3""",165
Dejan Jakovic,Los Angeles Football Club,5,Defender,Karlovac,,Croatia,35,"6' 2""",186
DeJuan Jones,New England Revolution,24,Midfielder,Lansing,Michigan,United States of America,23,"5' 9""",165
Deklan Wynne,Colorado Rapids,27,Defender,Auckland,,New Zealand,25,"5' 10""",165
Denso Ulysse,Inter Miami CF,36,Defender,Gona�ves,,Haiti,22,"5' 8""",133
Derek Cornelius,Vancouver Whitecaps FC,13,Defender,Ajax,Ontario,Canada,23,"6' 2""",190
Derrick Etienne Jr.,Columbus Crew SC,22,Midfielder,Paterson,New Jersey,United States of America,23,"5' 10""",160
Derrick Jones,Nashville SC,21,Midfielder,Philadelphia,Pennsylvania,United States of America,23,"6' 3""",
Diedie Traore,LA Galaxy,50,Defender,Bondy,,France,21,"6' 0""",180
Diego Chara,Portland Timbers,21,Midfielder,Cali,,Colombia,34,"5' 8""",150
Diego Fagundez,New England Revolution,14,Midfielder,Montevideo,,Uruguay,25,"5' 8""",140
Diego Palacios,Los Angeles Football Club,12,Defender,Guayaquil,,Ecuador,21,"5' 7""",143
Diego Rossi,Los Angeles Football Club,9,Forward,Montevideo,,Uruguay,22,"5' 7""",146
Diego Rubio,Colorado Rapids,11,Forward,Santiago,,Chile,27,"5' 11""",170
Diego Valeri,Portland Timbers,8,Midfielder,Valentin Alsina,,Argentina,34,"5' 10""",165
Djordje Mihailovic,Chicago Fire FC,14,Midfielder,Lemont,Illinois,United States of America,22,"5' 10""",153
Dom Dwyer,Orlando City SC,14,Forward,London,,England,30,"5' 9""",180
Dominique Badji,Nashville SC,9,Forward,Dakar,,Senegal,28,"6' 0""",170
Donny Toia,Real Salt Lake,4,Defender,Tucson,Arizona,United States of America,28,"5' 8""",160
Donovan Pines,D.C. United,23,Defender,Clarksville,Maryland,United States of America,22,"6' 5""",195
Douglas Martinez,Real Salt Lake,12,Forward,Olanchito,,Honduras,23,"6' 0""",132
Drake Callender,Inter Miami CF,27,Goalkeeper,Sacramento,California,United States of America,23,"6' 3""",205
Drew Moor,Colorado Rapids,3,Defender,Dallas,Texas,United States of America,36,"6' 0""",165
Dru Yearwood,New York Red Bulls,16,Midfielder,Harlow,,England,20,"5' 9""",
Dylan Nealis,Inter Miami CF,18,Defender,Massapequa,New York,United States of America,22,"5' 11""",175
Earl Edwards Jr.,D.C. United,36,Goalkeeper,San Diego,California,United States of America,28,"6' 3""",205
Eddie Munjoma,FC Dallas,27,Defender,Dallas,Texas,United States of America,22,"5' 10""",155
Eddie Segura,Los Angeles Football Club,4,Defender,Pereira,,Colombia,23,"5' 9""",155
Edgar Castillo,Atlanta United FC,19,Defender,Las Cruces,New Mexico,United States of America,34,"5' 7""",145
Edison Flores,D.C. United,10,Midfielder,Comas District,,Peru,26,"5' 8""",159
Eduard Atuesta,Los Angeles Football Club,20,Midfielder,Velez,,Colombia,23,"5' 11""",155
Edwin Cerrillo,FC Dallas,33,Midfielder,Frisco,Texas,United States of America,20,"5' 10""",180
Efrain Alvarez,LA Galaxy,26,Midfielder,Los Angeles,California,United States of America,18,"5' 8""",150
Elliot Collier,Chicago Fire FC,28,Forward,Hamilton,,New Zealand,25,"6' 4""",180
Elliot Panicco,Nashville SC,30,Goalkeeper,Huntersville,North Carolina,United States of America,24,"6' 5""",205
Eloy Room,Columbus Crew SC,1,Goalkeeper,Nijmegen,,Netherlands,31,"6' 2""",179
Ema Twumasi,FC Dallas,22,Forward,Accra,,Ghana,23,"5' 8""",160
Emanuel Cecchini,Seattle Sounders FC,15,Midfielder,Ingeniero Huergo,,Argentina,23,"5' 11""",170
Emanuel Maciel,Montreal Impact,25,Midfielder,Jose C Paz,,Argentina,23,"5' 11""",
Emanuel Reynoso,Minnesota United FC,10,Midfielder,Cordoba,,Argentina,25,"5' 7""",150
Emerson Hyndman,Atlanta United FC,20,Midfielder,Dallas,Texas,United States of America,24,"5' 9""",135
Emil Cuello,LA Galaxy,27,Midfielder,Orem,Utah,United States of America,23,"5' 11""",165
Emiliano Insua,LA Galaxy,3,Defender,Buenos Aires,,Argentina,31,"5' 11""",174
Emmanuel Boateng,Columbus Crew SC,20,Midfielder,Accra,,Ghana,26,"5' 6""",150
Emmanuel Ochoa,San Jose Earthquakes,41,Goalkeeper,Salinas,California,United States of America,15,"6' 2""",150
Eric Calvillo,San Jose Earthquakes,26,Midfielder,Palmdale,California,United States of America,22,"5' 7""",140
Eric Dick,Sporting Kansas City,18,Goalkeeper,Carmel,Indiana,United States of America,26,"6' 5""",205
Eric Lopez,LA Galaxy,12,Goalkeeper,Westminster,California,United States of America,21,"6' 0""",165
Eric Miller,Nashville SC,15,Defender,Woodbury,Minnesota,United States of America,27,"6' 1""",175
Eric Remedi,Atlanta United FC,5,Midfielder,Paran�,,Argentina,25,"5' 6""",
Erick Torres,Atlanta United FC,31,Forward,Guadalajara,,Mexico,27,"5' 11""",168
Erickson Gallardo,Toronto FC,9,Midfielder,Barinas,,Venezuela,24,"5' 8""",150
Erik Dueñas,Los Angeles Football Club,18,Defender,Los Angeles,California,United States of America,16,"5' 4""",120
Erik Godoy,Vancouver Whitecaps FC,22,Defender,Buenos Aires,,Argentina,27,"6' 2""",175
Erik Holt,Real Salt Lake,20,Defender,San Diego,California,United States of America,24,"6' 1""",185
Erik Hurtado,Sporting Kansas City,19,Forward,Beaverton,Oregon,United States of America,30,"5' 10""",175
Erik McCue FC,Houston Dynamo,28,Defender,Onsala,,Sweden,19,"6' 3""",185
Erik Sorga,D.C. United,50,Forward,Tallinn,,Estonia,21,"5' 9""",166
Eriq Zavaleta,Toronto FC,3,Defender,Westfield,Indiana,United States of America,28,"6' 1""",185
Eryk Williamson,Portland Timbers,30,Midfielder,Alexandria,Virginia,United States of America,23,"5' 9""",155
Ethan Dobbelaere,Seattle Sounders FC,45,Midfielder,Seattle,Washington,United States of America,18,"5' 9""",140
Ethan Finlay,Minnesota United FC,13,Midfielder,Marshfield,Wisconsin,United States of America,30,"5' 9""",165
Ethan Zubak,LA Galaxy,29,Forward,Corona,California,United States of America,22,"6' 0""",165
Evan Bush,Vancouver Whitecaps FC,,Goalkeeper,Concord Township,Ohio,United States of America,34,"6' 1""",186
Everton Luiz,Real Salt Lake,25,Midfielder,Porto Alegre,,Brazil,32,"5' 8""",154
Ezequiel Barco,Atlanta United FC,8,Midfielder,Villa Gobernador G�lvez,,Argentina,21,"5' 7""",
Fabian Herbers,Chicago Fire FC,21,Midfielder,Ahaus,,Germany,27,"6' 0""",165
Fafa Picault,FC Dallas,9,Forward,Miami,Florida,United States of America,29,"5' 8""",168
Fanendo Adi,Columbus Crew SC,9,Forward,Lagos,,Nigeria,30,"6' 4""",185
Fatai Alashe,Columbus Crew SC,26,Midfielder,Northville,Michigan,United States of America,27,"6' 0""",170
Federico Higuain,Inter Miami CF,34,Midfielder,Buenos Aires,,Argentina,36,"5' 8""",165
Felipe,D.C. United,18,Midfielder,Engenheiro Beltr�o,,Brazil,30,"5' 9""",150
Felipe Gutiérrez,Sporting Kansas City,10,Midfielder,Quintero,,Chile,30,"5' 7""",145
Felipe Hernandez,Sporting Kansas City,21,Midfielder,Nashville,Tennessee,United States of America,22,"5' 7""",135
Felipe Mora,Portland Timbers,9,Forward,Santiago,,Chile,27,"5' 9""",150
Fernando Meza,Atlanta United FC,6,Defender,San Martin,,Argentina,30,"5' 9""",
Florian Jungwirth,San Jose Earthquakes,23,Defender,Grafelfing,,Germany,31,"5' 11""",174
Florian Valot,New York Red Bulls,22,Midfielder,Pau,,France,27,"5' 9""",153
Foster Langsdorf,Minnesota United FC,,Forward,Vancouver,Washington,United States of America,24,"5' 10""",165
Francis Atuahene,FC Dallas,17,Forward,Accra,,Ghana,24,"5' 9""",170
Francisco Calvo ,Chicago Fire FC,5,Defender,San Jose,,Costa Rica,28,"5' 10""",
Francisco Ginella,Los Angeles Football Club,8,Midfielder,Montevideo,,Uruguay,21,"5' 10""",160
Franco Escobar,Atlanta United FC,2,Defender,Rosario,,Argentina,25,"5' 11""",
Franco Jara,FC Dallas,29,Forward,Cordoba,,Argentina,32,"5' 11""",154
Frankie Amaya,FC Cincinnati,24,Midfielder,Santa Ana,California,United States of America,20,"5' 4""",145
Franko Kovacevic,FC Cincinnati,,Forward,Križevci,,Croatia,21,"6' 1""",175
Fred Emmings,Minnesota United FC,99,Goalkeeper,Saint Paul,Minnesota,United States of America,16,"6' 5""",210
Frederic Brillant,D.C. United,13,Defender,Sedan,,France,35,"6' 3""",156
Fredy Montero,Vancouver Whitecaps FC,12,Forward,Barranquilla,,Colombia,33,"5' 9""",165
Gabriel Slonina,Chicago Fire FC,32,Goalkeeper,Addison,Illinois,United States of America,16,"6' 4""",196
Gadi Kinda,Sporting Kansas City,17,Midfielder,Ashdod,,Israel,26,"5' 8""",145
Gary Mackay-Steven,New York City FC,17,Midfielder,Thurso,,Scotland,30,"5' 9""",154
Gaston Gimenez,Chicago Fire FC,30,Midfielder,Formosa,,Argentina,29,"6' 2""",194
Gedion Zelalem,New York City FC,23,Midfielder,Berlin,,Germany,23,"5' 11""",155
Gelmin Rivas,D.C. United,,Forward,Cuman�,,Venezuela,31,"6' 0""",190
George Acosta,Inter Miami CF,30,Midfielder,Miami,Florida,United States of America,20,"5' 7""",130
George Bello,Atlanta United FC,21,Defender,Douglasville,Georgia,United States of America,18,"5' 5""",
George Campbell,Atlanta United FC,32,Defender,Atlanta,Georgia,United States of America,19,"6' 2""",175
Georges Mukumbilwa,Vancouver Whitecaps FC,56,Midfielder/Defender,Winnipeg,Manitoba,Canada,21,"5' 11""",160
Gerso Fernandes,Sporting Kansas City,12,Midfielder/Forward,Bissau,,Guinea-Bissau,29,"5' 8""",140
Giancarlo Gonzalez,LA Galaxy,21,Defender,San Jose,,Costa Rica,32,"6' 1""",185
Gianfranco Facchineri,Vancouver Whitecaps FC,34,Defender,Windsor,Ontario,Canada,18,"6' 0""",185
Gianluca Busio,Sporting Kansas City,27,Midfielder,Greensboro,North Carolina,United States of America,18,"5' 7""",135
Gilbert Fuentes,San Jose Earthquakes,35,Midfielder,Tracy,California,United States of America,18,"5' 6""",140
Giuseppe Rossi,Real Salt Lake,7,Forward,Clifton,New Jersey,United States of America,33,"5' 8""",159
Gonzalo Higuaín,Inter Miami CF,9,Forward,Brest,,France,32,"6' 0""",181
Gordon Wild,LA Galaxy,31,Midfielder,Leonberg,,Germany,25,"5' 10""",172
Graham Smith,Sporting Kansas City,16,Defender,Highlands Ranch,Colorado,United States of America,25,"6' 3""",186
Graham Zusi,Sporting Kansas City,8,Defender,Longwood,Florida,United States of America,34,"5' 10""",160
Grant Lillard,Columbus Crew SC,23,Defender,Hinsdale,Illinois,United States of America,24,"6' 4""",195
Greg Ranjitsingh,Minnesota United FC,18,Goalkeeper,Pickering,Ontario,Canada,27,"6' 3""",195
Griffin Dorsey,Toronto FC,19,Midfielder,Evergreen,Colorado,United States of America,21,"6' 0""",160
Griffin Yow,D.C. United,22,Forward,Clifton,Virginia,United States of America,18,"5' 7""",135
Gudmundur Thórarinsson,New York City FC,20,Defender,Selfoss,,Iceland,28,"5' 10""",170
Guram Kashia,San Jose Earthquakes,37,Defender,Tblisi,Georgia,United States of America,33,"6' 1""",172
Gustav Svensson,Seattle Sounders FC,4,Midfielder/Defender,Gothenburg,,Sweden,33,"6' 0""",155
Gustavo Bou,New England Revolution,7,Forward,Concordia,,Argentina,30,"5' 10""",160
Gyasi Zardes,Columbus Crew SC,11,Forward,Hawthorne,California,United States of America,29,"6' 1""",187
Handwalla Bwana,Nashville SC,,Midfielder,Seattle,Washington,United States of America,21,"5' 9""",145
Hany Mukhtar,Nashville SC,10,Midfielder,Berlin,,Germany,25,"5' 8""",156
Haris Medunjanin,FC Cincinnati,6,Midfielder,Sarajevo,,Yugoslavia,35,"6' 2""",183
Harrison Afful,Columbus Crew SC,25,Defender,Senya Breku,,Ghana,34,"5' 6""",128
Hassani Dotson,Minnesota United FC,31,Midfielder,Federal Way,Washington,United States of America,23,"5' 11""",170
Heber,New York City FC,9,Forward,Colorado de Oeste,,Brazil,29,"5' 11""",170
Hector Jimenez,Columbus Crew SC,16,Midfielder,Huntington Park,California,United States of America,32,"5' 9""",140
Henry Kessler,New England Revolution,4,Defender,New York,New York,United States of America,22,"6' 4""",185
Ignacio Aliseda,Chicago Fire FC,7,Midfielder,Buenos Aires,,Argentina,20,"5' 7""",152
Ike Opara,Minnesota United FC,3,Defender,Durham,North Carolina,United States of America,31,"6' 2""",180
Ilie Sanchez,Sporting Kansas City,6,Midfielder,Barcelona,,Spain,30,"5' 11""",170
Ilsinho,Philadelphia Union,25,Midfielder,S�o Bernardo do Campo,,Brazil,35,"5' 10""",
Isaac Angking,New England Revolution,5,Midfielder,Providence,Rhode Island,United States of America,20,"5' 10""",160
Isaac Boehmer,Vancouver Whitecaps FC,60,Goalkeeper,Okanagan Falls,British Columbia,Canada,19,"6' 2""",185
Ismael Tajouri-Shradi,New York City FC,29,Midfielder,Bern,,Switzerland,26,"5' 6""",141
Jack de Vries,Philadelphia Union,14,Midfielder,Brussels,,Belgium,18,"6' 0""",165
Jack Elliott,Philadelphia Union,3,Defender,London,,England,25,"6' 5""",180
Jack Maher,Nashville SC,18,Defender,Caseyville,Illinois,United States of America,21,"6' 3""",175
Jack Price,Colorado Rapids,19,Midfielder,Shrewsbury,,England,27,"5' 7""",152
Jack Skahan,San Jose Earthquakes,16,Midfielder,Memphis,Tennessee,United States of America,22,"5' 10""",165
Jackson Yueill,San Jose Earthquakes,14,Midfielder,Bloomington,Minnesota,United States of America,23,"5' 10""",165
Jacob Akanyirige,San Jose Earthquakes,29,Defender,Pleasanton,California,United States of America,18,"5' 11""",157
Jacob Shaffelburg,Toronto FC,24,Midfielder,Kentville,Nova Scotia,Canada,20,"5' 10""",150
Jacori Hayes,Minnesota United FC,5,Midfielder,Bowie,Maryland,United States of America,25,"5' 7""",150
Jahkeele Marshall-Rutty,Toronto FC,15,Midfielder,Brampton,Ontario,Canada,16,"5' 7""",141
Jairo Quinteros,Inter Miami CF,,Defender,Santa Cruz,,Bolivia,19,"6' 1""",175
Jake Mulraney,Atlanta United FC,23,Midfielder,Dublin,,Ireland,24,"5' 8""",
Jake Nerwinski,Vancouver Whitecaps FC,28,Defender,Lawrenceville,New Jersey,United States of America,26,"6' 0""",175
Jakob Glesnes,Philadelphia Union,5,Defender,Sotra,,Norway,26,"6' 2""",185
Jalen Neal,LA Galaxy,,Forward,Lakewood,California,United States of America,0,,
Jalil Anibaba,Nashville SC,3,Defender,Davis,California,United States of America,32,"6' 0""",185
James Musa,Minnesota United FC,41,Midfielder,Plymouth,,United Kingdom,28,"6' 0""",170
James Pantemis,Montreal Impact,41,Goalkeeper,Kirkland,Quebec,Canada,23,"6' 2""",168
James Sands,New York City FC,16,Defender/Midfielder,Rye,New York,United States of America,20,"6' 1""",185
Jamiro Monteiro,Philadelphia Union,10,Midfielder,Rotterdam,,Netherlands,27,"5' 8""",137
Jan Gregus,Minnesota United FC,8,Midfielder,Nitra,,Slovakia,29,"6' 3""",170
Janio Bikel,Vancouver Whitecaps FC,19,Midfielder,Bissau,,Guinea-Bissau,25,"5' 9""",155
Jared Stroud,New York Red Bulls,8,Midfielder,Chester,New Jersey,United States of America,24,"5' 10""",160
Jaroslaw Niezgoda,Portland Timbers,11,Forward,Poniatowa,,Poland,25,"6' 1""",170
Jason Pendant,New York Red Bulls,24,Defender,Sarcelles,,France,23,"5' 10""",
Jasser Khmiri,Vancouver Whitecaps FC,20,Defender,Tunis,,Tunisia,23,"6' 4""",187
Javier Casas,Chicago Fire FC,37,Midfielder,Addison,Illinois,United States of America,17,"5' 8""",145
Javier Hernandez,LA Galaxy,14,Forward,Guadalajara,,Mexico,32,"5' 9""",137
Jay Chapman,Inter Miami CF,14,Midfielder,Toronto,Ontario,Canada,26,"6' 0""",157
Jayden Nelson,Toronto FC,80,Midfielder,Brampton,Ontario,Canada,18,"5' 7""",145
Jaylin Lindsey,Sporting Kansas City,26,Defender,Charlotte,North Carolina,United States of America,20,"5' 8""",155
Jeff Attinella,Portland Timbers,1,Goalkeeper,Clearwater,Florida,United States of America,32,"6' 2""",190
Jeff Caldwell,New England Revolution,25,Goalkeeper,Todd,North Carolina,United States of America,24,"6' 3""",187
Jeff Larentowicz,Atlanta United FC,18,Midfielder/Defender,West Chester,Pennsylvania,United States of America,37,"6' 1""",175
Jeizon Ramirez,Real Salt Lake,28,Forward,San Cristobal,,Venezuela,19,"5' 7""",132
Jeremy Ebobisse,Portland Timbers,17,Forward,Bethesda,Maryland,United States of America,23,"6' 0""",175
Jeremy Kelly,Colorado Rapids,18,Defender,Chapel Hill,North Carolina,United States of America,23,"5' 10""",145
Jerome Kiesewetter,Inter Miami CF,17,Forward,Berlin,,Germany,27,"6' 0""",180
Jesus David Murillo,Los Angeles Football Club,,Defender,Cali,,Colombia,26,"6' 0""",160
Jesus Ferreira,FC Dallas,7,Forward,McKinney,Texas,United States of America,19,"5' 8""",140
Jesus Medina,New York City FC,19,Midfielder,Asuncion,,Paraguay,23,"5' 10""",154
Jhonder Cadiz,Nashville SC,99,Forward,Caracas,,Venezuela,25,"6' 3""",185
Jimmy Maurer,FC Dallas,14,Goalkeeper,Lawrenceville,Georgia,United States of America,32,"6' 2""",185
Jimmy Medranda ,Seattle Sounders FC,,Defender/Midfielder,Mosquera,,Colombia,26,"5' 5""",150
JJ Williams,Atlanta United FC,24,Forward,Montgomery,Alabama,United States of America,22,"6' 4""",200
João Paulo,Seattle Sounders FC,6,Midfielder,Serafina Corrêa,,Brazil,29,"5' 6""",155
Joao Moutinho,Orlando City SC,4,Defender,Lisbon,,Portugal,22,"6' 0""",156
Joe Bendik,Philadelphia Union,12,Goalkeeper,Marietta,Georgia,United States of America,31,"6' 2""",217
Joe Corona,LA Galaxy,14,Midfielder,Los Angeles,California,United States of America,30,"5' 8""",155
Joe Scally,New York City FC,25,Defender,Lake Grove,New York,United States of America,17,"5' 10""",
Joe Willis,Nashville SC,1,Goalkeeper,St. Louis,Missouri,United States of America,32,"6' 5""",189
Joel Waterman,Montreal Impact,16,Defender,Langley,British Columbia,Canada,24,"6' 2""",165
Joevin Jones,Seattle Sounders FC,33,Defender/Midfielder,Carenage,,Trinidad and Tobago,29,"5' 11""",160
Joey DeZart,Orlando City SC,34,Midfielder,Jackson,New Jersey,United States of America,22,"6' 1""",195
Johan Kappelhof,Chicago Fire FC,4,Defender,Amsterdam,,Netherlands,30,"5' 11""",165
